date,close,open_yesterday,high_yesterday,low_yesterday,close_yesterday,volume_yesterday,trades_yesterday,open_1D_change,high_1D_change,low_1D_change,close_1D_change,volume_1D_change,trades_1D_change,open_average_7D,high_average_7D,low_average_7D,close_average_7D,volume_average_7D,trades_average_7D,open_%change_7D,high_%change_7D,low_%change_7D,close_%change_7D,volume_%change_7D,trades_%change_7D,moving_average_9,moving_average_20,moving_average_50
2022-03-17,40945.6,39321.7,41706.8,38807.5,41124.0,6599.0814876603,52075.0,-0.009259445894601037,0.04528320802005026,0.016701598113701754,0.04573634343198041,1.5578366483583732,1.3544172167465414,39386.014285714286,40367.22857142857,38240.34285714285,39268.55714285715,3518.7960897901,28803.285714285714,0.007183800446834024,0.00254332254992922,0.001182146964295892,0.0030839803947617173,0.03146102302354108,-0.014003691492950237,39510.86666666667,40032.244999999995,40178.208000000006
2022-03-18,41775.1,41129.9,41469.1,40549.1,40945.6,2322.33915065,26099.0,0.04598478702599329,-0.005699310424199466,0.044877923081878546,-0.004338099406672513,-0.6480814557309877,-0.49881901104176674,39267.57142857143,40285.41428571429,38522.21428571428,39484.24285714286,3187.171335122929,26734.285714285714,0.0030692612394093155,-0.0026620729191433484,0.0005743033550563873,-0.00222551691276583,0.19547560647230705,0.1322137549802598,39754.53333333333,40117.85,40260.568
2022-03-19,42218.0,40941.1,42368.6,40179.1,41775.1,2583.79104383,30434.0,-0.004590334525491291,0.0216908493311887,-0.009124740129867193,0.020258587003243234,0.11258127095985193,0.16609831794321628,39482.614285714284,40592.014285714286,38797.58571428571,39918.95714285714,3055.6160689772,26930.571428571428,-0.0021815198779368944,-0.0016354783538533274,0.00737690560140658,0.005765610304139452,0.11948666663965064,0.08402450720615041,39733.4,40250.595,40352.06
2022-03-20,41289.0,41778.7,42379.6,41537.5,42218.0,1298.20726204,16785.0,0.020458658902667404,0.00025962623263464657,0.03380862189546319,0.01060200933091715,-0.4975571785729066,-0.44847867516593287,39918.47142857143,41003.41428571429,39203.08571428571,40409.385714285716,3019.1784012200574,27165.0,0.0057534171307924075,0.007645496938804294,0.007275080724170713,0.011208864495010637,0.1706104664641546,0.14831269246341297,40042.53333333334,40476.04,40441.662000000004
2022-03-21,41014.3,42218.0,42308.2,40945.0,41289.0,1967.29109207,22542.0,0.010514927463037393,-0.0016847728624149738,-0.014264219079145324,-0.022004832062153534,0.5153906079516173,0.3429848078641644,40408.9,41433.15714285714,39681.81428571429,40909.47142857143,2971.6410351557715,27962.14285714286,0.011241192128397248,0.010249031252944534,0.010433614191333753,0.012528324085398421,0.17907382090843443,0.15265449611928747,40326.63333333333,40380.755000000005,40504.144
2022-03-22,42377.8,41286.1,41572.4,40510.1,41014.3,1953.9504866199,22519.0,-0.0220735231417879,-0.017391427666504256,-0.010621565514714937,-0.006653103732228827,-0.006781205640525201,-0.0010203176293142047,40909.24285714285,41672.1,40099.75714285714,41098.771428571425,2757.8009909328857,27510.285714285714,0.012531958745832286,0.01073095705252972,0.012475339100637996,0.013055562481941174,0.1840181826748668,0.18450267673108003,40574.333333333336,40210.075,40565.828
2022-03-23,42910.3,41014.3,43402.6,40916.3,42377.8,3336.9451303601,32677.0,-0.006583329498305646,0.04402440080437975,0.01002712903695624,0.03324450252716726,0.707794109016864,0.4510857498112706,41098.54285714286,42172.47142857143,40492.08571428571,41534.82857142857,2865.9436647471857,29018.714285714286,0.013066695683697655,0.006066169312458403,0.010993692679263247,0.004919240431958508,0.11157417210578528,0.11091544285006509,41084.26666666666,40132.840000000004,40643.142
2022-03-24,43989.0,42377.7,43010.6,41811.1,42910.3,2207.87184726,29946.0,0.03324206435316457,-0.009031716993912808,0.021869035078929233,0.012565541391955204,-0.33835536366109153,-0.0835756036355847,41535.114285714284,42358.72857142857,40921.17142857143,41790.014285714286,2238.628001832857,25857.428571428572,0.004921677190216031,0.012354653347876379,0.010200678200610325,0.010977915298893312,0.24874039947746956,0.19518115550402534,41442.166666666664,40155.105,40726.95
2022-03-25,44315.5,42910.2,44246.9,42637.4,43989.0,2598.22403232,25170.0,0.012565571043261059,0.028744077041473526,0.019762694595454322,0.025138486563831997,0.1768002004031315,-0.15948707673812867,41789.44285714285,42755.557142857135,41219.5,42224.78571428572,2278.040127785714,25724.714285714286,0.010993321511325403,0.004595378345881656,0.010938883481357107,0.0062392292931754256,-0.02214417366816825,-0.010246390264849794,41960.34444444444,40397.68000000001,40868.664
2022-03-26,44548.0,43989.0,45105.0,43604.8,44315.5,3654.14485579,52270.0,0.025140875596012302,0.01939344903258755,0.022689000736442644,0.007422310122985332,0.4064009917293967,1.076678585617799,42224.857142857145,43146.47142857143,41708.885714285716,42587.700000000004,2430.9478152085717,28844.14285714286,0.006219147799506513,0.009515862269549227,0.007350993697582219,0.01045017014610464,0.09569606292242021,0.03822960034995564,42314.955555555556,40643.635,41008.486000000004
