date,year,month,day,open,high,low,close,volume,trades,open_yesterday,high_yesterday,low_yesterday,close_yesterday,volume_yesterday,trades_yesterday,open_1D_change,high_1D_change,low_1D_change,close_1D_change,volume_1D_change,trades_1D_change,open_average_7D,high_average_7D,low_average_7D,close_average_7D,volume_average_7D,trades_average_7D,open_%change_7D,high_%change_7D,low_%change_7D,close_%change_7D,volume_%change_7D,trades_%change_7D,moving_average_9,moving_average_20,moving_average_50
2022-01-27,2022,1,27,36827.7,37242.5,35548.5,37200.5,4276.4801738801,29424,36994.6,38899.9,36251.2,36827.6,5526.1969408302,39968.0,0.00804098148476129,0.03587215866726301,0.01585807040994447,-0.004331157841234279,0.7340006611416079,0.5325741017677059,37693.47142857143,38840.04285714286,35640.62857142857,37002.18571428571,5156.294872513043,38305.142857142855,-0.019021774094449957,-0.017085310261831403,-0.018770932605903852,-0.018359384643133185,0.4542065402445843,0.21515401738195727,38120.5,40539.51,44923.53
2022-01-28,2022,1,28,37168.0,37999.9,36172.3,37737.9,2662.80699128,24788,36827.7,37242.5,35548.5,37200.5,4276.4801738801,29424.0,-0.004511469241456956,-0.04260679333365902,-0.019384185902811435,0.01012555800540893,-0.2261440879380523,-0.26381104883907125,36999.4,37946.485714285714,34922.25714285714,36504.12857142857,5324.967916684485,38561.28571428572,-0.018289988360659697,-0.011662057785491009,-0.016059151904884574,-0.0166294709067801,0.5546941678414619,0.2703797236134441,37544.666666666664,40323.355,44657.238
2022-01-29,2022,1,29,37735.7,38719.5,37275.7,38164.9,1737.65164383,20283,37168.0,37999.9,36172.3,37737.9,2662.80699128,24788.0,0.009240327253670522,0.02033698060012079,0.017547857152903967,0.01444604239190328,-0.3773367622410828,-0.1575584556824361,36496.7,37501.37142857142,35031.200000000004,36685.485714285714,4437.2262995758,33584.0,-0.016624632048622807,-0.02083418680645588,-0.016808627657710073,-0.011758396628258758,0.43492766263496,0.19589067276041552,37105.96666666667,40125.590000000004,44460.364
2022-01-30,2022,1,30,38188.3,38358.0,37389.0,37930.1,1037.63136699,14478,37735.7,38719.5,37275.7,38164.9,1737.65164383,20283.0,0.015273891519586691,0.018936891939189238,0.030504004445390365,0.011314885035998312,-0.34743612679388447,-0.18174116507987736,36680.91428571429,37773.514285714286,35498.05714285714,37127.95714285714,3916.474058707214,30120.85714285714,-0.011880019306064098,-0.010106761456383404,0.0038907363906222547,0.0051170409281436745,0.11424218374093144,0.007947018950453688,36825.74444444445,39940.689999999995,44279.295999999995
2022-01-31,2022,1,31,37914.0,38786.0,36667.5,38512.1,2521.02829205,23645,38188.3,38358.0,37389.0,37930.1,1037.63136699,14478.0,0.011993947376092384,-0.009336380893348317,0.003039513677811634,-0.006152249842132473,-0.4028542080488977,-0.2862002662328058,37126.271428571425,38038.94285714285,35894.58571428571,37364.04285714286,3723.9122550429283,29004.714285714286,0.0051916295780038025,0.007543095507897953,0.013904689977230045,0.012220786924469278,0.12083854268416673,0.018169648082136964,36988.15555555555,39744.43000000001,44050.554000000004
2022-02-01,2022,2,1,38512.0,39290.0,38050.0,38719.9,3336.0134691301,27161,37914.0,38786.0,36667.5,38512.1,2521.02829205,23645.0,-0.00718282824844263,0.0111580374367799,-0.019297119473641988,0.015344014384354399,1.4295991546237592,0.6331675645807433,37361.114285714284,38222.65714285714,36427.07142857143,37622.985714285714,2992.679854404329,25523.571428571428,0.012296167244319525,0.007429731036219784,0.011794944534290055,0.006413046460076566,0.14283464597960308,0.04862102578642612,37370.87777777778,39533.595,43818.532
2022-02-02,2022,2,2,38721.4,38878.8,36600.0,36903.3,2725.79712871,24591,38512.0,39290.0,38050.0,38719.9,3336.0134691301,27161.0,0.015772537848815826,0.012994379415252943,0.03770368855253281,0.00539570680383572,0.3232749032012594,0.14869951363924727,37620.04285714286,38470.82857142857,36764.885714285716,37870.42857142857,3013.972696855771,25678.14285714286,0.006384828984344686,0.005109842059477954,0.015943898897922328,0.006943254998735588,0.032427041716785086,-0.02577198239708581,37642.25555555555,39273.2,43658.28599999999
2022-02-03,2022,2,3,36921.5,37389.0,36269.8,37324.4,1721.53526412,20871,38721.4,38878.8,36600.0,36903.3,2725.79712871,24591.0,0.0054372663066057925,-0.010465767370832157,-0.03810775295663604,-0.04691644348255031,-0.18291782873982831,-0.09462096388203678,37866.728571428575,38467.81428571429,36814.71428571428,37881.24285714286,2613.9155808386,23481.428571428572,0.00694676971328959,0.006765039118799792,0.00942454698030426,0.006591828419733413,0.16187193342067277,0.06073289202192922,37664.899999999994,38990.865000000005,43428.36800000001
2022-02-04,2022,2,4,37324.3,41774.0,37073.9,41585.5,4269.98627591,33485,36921.5,37389.0,36269.8,37324.4,1721.53526412,20871.0,-0.04648333996188159,-0.0383190839223434,-0.00902185792349719,0.01141090363192454,-0.3684286897261767,-0.15127485665487372,37880.12857142858,38488.74285714286,36917.75714285714,37898.942857142865,2248.9234508728714,22259.571428571428,0.006574810402124519,0.00014533539907191084,0.00171514364222133,0.0005082161852596943,0.03088357772332473,-0.028866403070891167,37702.3,38702.58500000001,43197.23
2022-02-05,2022,2,5,41597.2,41926.4,40883.7,41419.0,2211.15688361,24916,37324.3,41774.0,37073.9,41585.5,4269.98627591,33485.0,0.010909632598892216,0.11728048356468479,0.022169959580697896,0.11416392493918193,1.4803362236629498,0.6043792822576781,37902.45714285714,39027.9,37046.55714285715,38448.6,2478.5204915342997,23502.0,0.0005788288706352855,0.0007578653149741424,0.0031954762106947937,0.0006918369890476386,0.010557206039306957,-0.012789804187434377,38230.955555555556,38626.284999999996,43076.32
